,PH_SEQ,In Labor Force?,Unempoyment Status,Received UIB,UIB Amount,Duration of unemployment,Moving Status,Race,Sex,Year,GTCBSA
8668,4451.0,3.0,2.0,1.0,15000.0,65.0,0.0,6.0,1.0,2021.0,14460.0
8678,4454.0,3.0,2.0,1.0,6604.0,56.0,0.0,1.0,1.0,2021.0,14460.0
8702,4467.0,4.0,2.0,2.0,0.0,7.0,0.0,2.0,1.0,2021.0,14460.0
8709,4470.0,4.0,2.0,2.0,0.0,22.0,0.0,6.0,2.0,2021.0,14460.0
8735,4489.0,3.0,2.0,2.0,0.0,99.0,12.0,6.0,1.0,2021.0,14460.0
8780,4507.0,4.0,2.0,1.0,17450.0,5.0,0.0,1.0,2.0,2021.0,14460.0
8784,4510.0,3.0,2.0,2.0,0.0,39.0,0.0,6.0,1.0,2021.0,14460.0
8800,4520.0,4.0,2.0,1.0,16500.0,35.0,0.0,1.0,1.0,2021.0,14460.0
8816,4524.0,3.0,2.0,1.0,15000.0,19.0,0.0,2.0,1.0,2021.0,14460.0
8830,4529.0,3.0,2.0,1.0,4050.0,48.0,0.0,2.0,1.0,2021.0,14460.0
8833,4532.0,3.0,2.0,2.0,0.0,56.0,0.0,2.0,2.0,2021.0,14460.0
8855,4542.0,3.0,2.0,2.0,0.0,52.0,0.0,4.0,1.0,2021.0,14460.0
8859,4543.0,3.0,2.0,2.0,0.0,35.0,0.0,1.0,2.0,2021.0,14460.0
8874,4607.0,4.0,2.0,1.0,7200.0,47.0,0.0,1.0,1.0,2021.0,39300.0
8880,4612.0,3.0,2.0,1.0,8216.0,30.0,0.0,2.0,2.0,2021.0,39300.0
8908,4626.0,3.0,2.0,1.0,37858.0,48.0,0.0,1.0,2.0,2021.0,39300.0
9193,4770.0,3.0,2.0,1.0,11102.0,28.0,0.0,1.0,2.0,2021.0,44140.0
9342,4836.0,4.0,2.0,1.0,6792.0,52.0,0.0,1.0,2.0,2021.0,44140.0
9424,4865.0,4.0,2.0,1.0,5148.0,52.0,0.0,1.0,1.0,2021.0,44140.0
9454,4879.0,3.0,2.0,2.0,0.0,56.0,6.0,1.0,2.0,2021.0,44140.0
9460,4882.0,4.0,2.0,2.0,0.0,6.0,0.0,1.0,2.0,2021.0,44140.0
9515,4920.0,3.0,2.0,1.0,3300.0,10.0,0.0,1.0,1.0,2021.0,49340.0
9579,4948.0,3.0,2.0,1.0,6300.0,20.0,0.0,6.0,2.0,2021.0,49340.0
9614,4966.0,4.0,2.0,1.0,13200.0,52.0,0.0,4.0,1.0,2021.0,49340.0
9674,4994.0,3.0,2.0,1.0,99999.0,8.0,0.0,1.0,1.0,2021.0,49340.0
9687,5000.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,2021.0,49340.0
9699,5004.0,3.0,2.0,2.0,0.0,14.0,11.0,1.0,2.0,2021.0,49340.0
9755,5030.0,3.0,2.0,2.0,0.0,51.0,0.0,2.0,1.0,2021.0,49340.0
9757,5031.0,3.0,2.0,2.0,0.0,99.0,3.0,1.0,1.0,2021.0,49340.0
9766,5034.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2021.0,49340.0
9785,5043.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,49340.0
9804,5055.0,4.0,2.0,1.0,30000.0,2.0,0.0,2.0,1.0,2021.0,49340.0
9838,5080.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,49340.0
9849,5087.0,4.0,2.0,1.0,792.0,26.0,0.0,1.0,1.0,2021.0,49340.0
9858,5091.0,4.0,2.0,1.0,8400.0,8.0,0.0,1.0,1.0,2021.0,49340.0
9864,5093.0,4.0,2.0,1.0,4740.0,10.0,11.0,1.0,1.0,2021.0,49340.0
9885,5100.0,4.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,2021.0,49340.0
9904,5108.0,3.0,2.0,1.0,444.0,56.0,0.0,4.0,2.0,2021.0,49340.0
10127,5210.0,3.0,2.0,2.0,0.0,12.0,0.0,1.0,2.0,2021.0,39300.0
10144,5218.0,4.0,2.0,2.0,0.0,12.0,0.0,1.0,1.0,2021.0,39300.0
10145,5219.0,4.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,2021.0,39300.0
10194,5248.0,4.0,2.0,2.0,0.0,52.0,0.0,1.0,1.0,2021.0,39300.0
10234,5271.0,4.0,2.0,1.0,9000.0,2.0,0.0,1.0,2.0,2021.0,39300.0
10241,5272.0,3.0,2.0,2.0,0.0,65.0,0.0,1.0,1.0,2021.0,39300.0
10270,5286.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,2.0,2021.0,39300.0
10338,5324.0,3.0,2.0,1.0,32000.0,47.0,0.0,1.0,2.0,2021.0,39300.0
10341,5325.0,3.0,2.0,2.0,0.0,99.0,0.0,2.0,1.0,2021.0,39300.0
10346,5328.0,3.0,2.0,1.0,9000.0,6.0,0.0,1.0,1.0,2021.0,39300.0
10437,5380.0,3.0,2.0,1.0,4725.0,8.0,0.0,1.0,2.0,2021.0,39300.0
10441,5382.0,4.0,2.0,1.0,19200.0,8.0,0.0,3.0,1.0,2021.0,39300.0
10491,5409.0,4.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2021.0,39300.0
10569,5458.0,4.0,2.0,2.0,0.0,52.0,0.0,1.0,2.0,2021.0,39300.0
10577,5460.0,4.0,2.0,1.0,9800.0,2.0,0.0,1.0,2.0,2021.0,39300.0
10669,5509.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,39300.0
10719,5536.0,4.0,2.0,1.0,14400.0,26.0,0.0,2.0,2.0,2021.0,39300.0
10748,5547.0,3.0,2.0,1.0,10400.0,26.0,0.0,1.0,1.0,2021.0,39300.0
10751,5548.0,3.0,2.0,2.0,0.0,10.0,0.0,2.0,2.0,2021.0,39300.0
10775,5562.0,3.0,2.0,2.0,0.0,30.0,0.0,1.0,2.0,2021.0,39300.0
10819,5585.0,3.0,2.0,2.0,0.0,9.0,0.0,1.0,1.0,2021.0,39300.0
10833,5594.0,4.0,2.0,1.0,12600.0,52.0,0.0,3.0,2.0,2021.0,39300.0
10933,5647.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,39300.0
10937,5650.0,3.0,2.0,1.0,9992.0,52.0,0.0,1.0,2.0,2021.0,39300.0
10948,5657.0,3.0,2.0,1.0,14364.0,78.0,0.0,2.0,2.0,2021.0,39300.0
11074,5760.0,3.0,2.0,1.0,12000.0,2.0,0.0,1.0,1.0,2021.0,39300.0
11247,5828.0,3.0,2.0,2.0,0.0,26.0,0.0,1.0,2.0,2021.0,39300.0
11266,5835.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,2021.0,39300.0
11309,5851.0,3.0,2.0,2.0,0.0,52.0,0.0,1.0,1.0,2021.0,39300.0
11368,5877.0,3.0,2.0,2.0,0.0,43.0,0.0,2.0,1.0,2021.0,39300.0
11388,5887.0,4.0,2.0,1.0,2940.0,16.0,0.0,1.0,1.0,2021.0,39300.0
11395,5890.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,2021.0,39300.0
11482,5929.0,4.0,2.0,1.0,195.0,16.0,0.0,1.0,1.0,2021.0,39300.0
11516,5941.0,3.0,2.0,2.0,0.0,9.0,0.0,1.0,2.0,2021.0,39300.0
11553,5960.0,4.0,2.0,1.0,20000.0,9.0,0.0,1.0,1.0,2021.0,39300.0
11630,6811.0,3.0,2.0,1.0,18000.0,43.0,2.0,1.0,2.0,2021.0,0.0
11637,6814.0,3.0,2.0,1.0,4200.0,22.0,0.0,1.0,1.0,2021.0,0.0
11643,6818.0,4.0,2.0,1.0,1500.0,43.0,0.0,1.0,1.0,2021.0,0.0
11689,5988.0,3.0,2.0,2.0,0.0,12.0,0.0,2.0,2.0,2021.0,14860.0
11708,5994.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,2021.0,14860.0
11715,5998.0,3.0,2.0,2.0,0.0,16.0,12.0,4.0,1.0,2021.0,14860.0
11743,6010.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,14860.0
11754,6016.0,4.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,2021.0,14860.0
11810,6049.0,4.0,2.0,2.0,0.0,4.0,0.0,1.0,2.0,2021.0,14860.0
11823,6054.0,3.0,2.0,1.0,15600.0,56.0,0.0,2.0,1.0,2021.0,14860.0
11832,6057.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,14860.0
11858,6065.0,3.0,2.0,2.0,0.0,56.0,0.0,1.0,2.0,2021.0,14860.0
11868,6069.0,4.0,2.0,2.0,0.0,52.0,0.0,1.0,1.0,2021.0,14860.0
11881,6073.0,3.0,2.0,2.0,0.0,18.0,0.0,1.0,2.0,2021.0,14860.0
11887,6076.0,4.0,2.0,1.0,16000.0,4.0,0.0,1.0,1.0,2021.0,14860.0
11890,6078.0,3.0,2.0,1.0,6215.0,30.0,0.0,1.0,2.0,2021.0,14860.0
11902,6084.0,4.0,2.0,1.0,1896.0,51.0,2.0,1.0,2.0,2021.0,14860.0
11929,6095.0,3.0,2.0,2.0,0.0,17.0,2.0,1.0,2.0,2021.0,14860.0
11970,6129.0,3.0,2.0,1.0,24000.0,54.0,11.0,1.0,1.0,2021.0,14860.0
